"id","name","unit","minValMale","maxValMale","normalRangeMale","minValFemale","maxValFemale","normalRangeFemale","minValBaby","maxValBaby","normalRangeBaby","normalRangeDefault","createdAt","updatedAt","workspaceId","code","criticalMaxValBaby","criticalMaxValDefault","criticalMaxValFemale","criticalMaxValMale","criticalMinValBaby","criticalMinValDefault","criticalMinValFemale","criticalMinValMale"
"385","International Sensitivity Index","ratio","0.9","1.7","0.9–1.7","0.9","1.7","0.9–1.7",NULL,NULL,,"0.9–1.7","2026-07-09 13:19:16.661","2026-07-09 13:19:16.661",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"386","KOH Preparation",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:16.846","2026-07-09 13:19:16.846",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"387","Microscopic Examination",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"No fungal elements seen","2026-07-09 13:19:17.029","2026-07-09 13:19:17.029",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"388","Karyotype Result","None",NULL,NULL,"46,XY",NULL,NULL,"46,XX",NULL,NULL,"46,XX or 46,XY","46,XX or 46,XY (Normal)","2026-07-09 13:19:17.212","2026-07-09 13:19:17.212",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"389","Interpretation","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Normal","2026-07-09 13:19:17.389","2026-07-09 13:19:17.389",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"390","LE Cell Preparation",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:17.576","2026-07-09 13:19:17.576",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"391","LDL/HDL Ratio","Ratio","0","3.5","0.0–3.5","0","3","0.0–3.0",NULL,NULL,,"Below 3.5","2026-07-09 13:19:17.758","2026-07-09 13:19:17.758",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"392","Alanine Aminotransferase (ALT)","U/L","7","56","7–56","7","45","7–45","5","35","5–35",,"2026-07-09 13:19:17.946","2026-07-09 13:19:17.946",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"393","Aspartate Aminotransferase (AST)","U/L","10","40","10–40","9","32","9–32","15","60","15–60",,"2026-07-09 13:19:18.126","2026-07-09 13:19:18.126",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"395","Lactate Dehydrogenase (LDH)","U/L","140","280","140–280","140","280","140–280","120","300","120–300",,"2026-07-09 13:19:18.533","2026-07-09 13:19:18.533",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"396","Leptin","ng/mL","0.5","13","0.5–13.0","1.1","27.6","1.1–27.6",NULL,NULL,,,"2026-07-09 13:19:18.722","2026-07-09 13:19:18.722",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"397","Levofloxacin","µg/mL",NULL,NULL,"Therapeutic: 2.0 - 8.0 µg/mL",NULL,NULL,"Therapeutic: 2.0 - 8.0 µg/mL",NULL,NULL,"Therapeutic: 2.0 - 8.0 µg/mL","Therapeutic: 2.0 - 8.0 µg/mL","2026-07-09 13:19:18.911","2026-07-09 13:19:18.911",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"398","LH:FSH Ratio","Ratio","0.5","2","0.5–2.0","0.5","2","0.5–2.0",NULL,NULL,,"0.5–2.0","2026-07-09 13:19:19.095","2026-07-09 13:19:19.095",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"399","Linezolid","µg/mL",NULL,NULL,"2–8",NULL,NULL,"2–8",NULL,NULL,"2–8","2–8 µg/mL","2026-07-09 13:19:19.280","2026-07-09 13:19:19.280",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"400","Triglycerides","mg/dL","0","150","<150","0","150","<150","0","90","<90","<150 mg/dL","2026-07-09 13:19:19.462","2026-07-09 13:19:19.462",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"401","Lithium, Serum","mmol/L","0.6","1.2","0.6–1.2","0.6","1.2","0.6–1.2","0.6","1.2","0.6–1.2","0.6–1.2","2026-07-09 13:19:19.647","2026-07-09 13:19:19.647",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"402","Gamma Glutamyl Transferase (GGT)","U/L","9","48","9 - 48","9","48","9 - 48","5","30","5 - 30","9 - 48","2026-07-09 13:19:19.830","2026-07-09 13:19:19.830",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"403","Lupus Anticoagulant",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:20.024","2026-07-09 13:19:20.024",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"404","Lymphocyte-to-Monocyte Ratio (LMR)","Ratio",NULL,NULL,"2.0–5.0",NULL,NULL,"2.0–5.0",NULL,NULL,"2.0–5.0","2.0–5.0","2026-07-09 13:19:20.204","2026-07-09 13:19:20.204",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"405","Macrophages","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:20.382","2026-07-09 13:19:20.382",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"406","Magnesium","mg/dL","1.7","2.2","1.7–2.2","1.7","2.2","1.7–2.2","1.5","1.9","1.5–1.9","1.7–2.2","2026-07-09 13:19:20.566","2026-07-09 13:19:20.566",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"407","Malaria Parasite Antigen (P. vivax and P. falciparum)",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:20.756","2026-07-09 13:19:20.756",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"408","Malaria Antigen (Pf & Pv)",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:20.940","2026-07-09 13:19:20.940",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"409","Malarial Parasites (Peripheral Blood Smear)","Qualitative",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:21.125","2026-07-09 13:19:21.125",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"410","Species Identification","-NA-",NULL,NULL,"Not Applicable",NULL,NULL,"Not Applicable",NULL,NULL,"Not Applicable","Not Applicable","2026-07-09 13:19:21.311","2026-07-09 13:19:21.311",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"411","Malarial Parasites (MP) Smear","None",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:21.502","2026-07-09 13:19:21.502",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"412","Mantoux Test (5 TU)","mm",NULL,NULL,"< 5 mm (Induration)",NULL,NULL,"< 5 mm (Induration)",NULL,NULL,"< 5 mm (Induration)","Negative (< 5 mm induration); Positive (≥ 5 mm, ≥ 10 mm, or ≥ 15 mm depending on risk factors)","2026-07-09 13:19:21.685","2026-07-09 13:19:21.685",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"413","Mantoux Test (Tuberculin Skin Test)","mm",NULL,NULL,"< 5 mm (Negative)",NULL,NULL,"< 5 mm (Negative)",NULL,NULL,"< 5 mm (Negative)","< 5 mm (Negative)","2026-07-09 13:19:21.868","2026-07-09 13:19:21.868",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"414","Mean Platelet Volume (MPV)","fL","7.5","11.5","7.5–11.5","7.5","11.5","7.5–11.5","7","11","7.0–11.0",,"2026-07-09 13:19:22.052","2026-07-09 13:19:22.052",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"415","Mentzer Index","ratio",NULL,NULL,"> 13",NULL,NULL,"> 13",NULL,NULL,"> 13","> 13 (suggests Iron Deficiency Anemia); < 13 (suggests Thalassemia Trait)","2026-07-09 13:19:22.230","2026-07-09 13:19:22.230",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"416","Meropenem","mg/L",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-09 13:19:22.416","2026-07-09 13:19:22.416",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"417","Microfilaria IgG/IgM Rapid Test",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:22.605","2026-07-09 13:19:22.605",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"418","Moxifloxacin","Not Applicable",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:22.782","2026-07-09 13:19:22.782",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"419","Mycobacterium Tuberculosis DNA PCR (Qualitative)",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-09 13:19:22.963","2026-07-09 13:19:22.963",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"420","GeneXpert MTB/RIF","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-09 13:19:23.144","2026-07-09 13:19:23.144",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"421","Rifampicin Resistance","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-09 13:19:23.327","2026-07-09 13:19:23.327",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"422","Myeloblast and Monocytoid Cells","None",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:23.508","2026-07-09 13:19:23.508",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"423","Myoglobin","ng/mL","0","85","0-85","0","70","0-70","0","70","0-70","0-85 ng/mL","2026-07-09 13:19:23.689","2026-07-09 13:19:23.689",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"424","Nalidixic Acid (NA)",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:23.865","2026-07-09 13:19:23.865",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"425","Netilmicin (Peak)","µg/mL","5","12","5.0 - 12.0","5","12","5.0 - 12.0","5","12","5.0 - 12.0",,"2026-07-09 13:19:24.049","2026-07-09 13:19:24.049",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"426","Netilmicin (Trough)","µg/mL","0.5","2","0.5 - 2.0","0.5","2","0.5 - 2.0","0.5","2","0.5 - 2.0",,"2026-07-09 13:19:24.223","2026-07-09 13:19:24.223",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"427","Netilmicin (NET)","µg/mL",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Trough: 0.5–2.0 µg/mL; Peak: 5.0–12.0 µg/mL","2026-07-09 13:19:24.397","2026-07-09 13:19:24.397",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"428","Netilmicin","µg/mL",NULL,NULL,"Peak: 5.0–10.0; Trough: <2.0",NULL,NULL,"Peak: 5.0–10.0; Trough: <2.0",NULL,NULL,"Peak: 5.0–10.0; Trough: <2.0","Peak: 5.0–10.0 µg/mL; Trough: <2.0 µg/mL","2026-07-09 13:19:24.582","2026-07-09 13:19:24.582",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"429","Neutrophil-Lymphocyte Ratio (NLR)","Ratio","0.7","3.5","0.7–3.5","0.7","3.5","0.7–3.5","0.5","3","0.5–3.0","0.7–3.5","2026-07-09 13:19:24.763","2026-07-09 13:19:24.763",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"430","Neutrophils (Absolute Count)","X 10³/ μL","1.5","8","1.5–8.0","1.5","8","1.5–8.0","1","8.5","1.0–8.5",NULL,"2026-07-09 13:19:24.953","2026-07-09 20:09:19.676",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"431","Neutrophils (Percentage)","%","40","70","40.0–70.0","40","70","40.0–70.0","15","45","15.0–45.0",,"2026-07-09 13:19:25.141","2026-07-09 13:19:25.141",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"432","Non-HDL Cholesterol","mg/dL","0","130","< 130","0","130","< 130","0","120","< 120","< 130 mg/dL","2026-07-09 13:19:25.331","2026-07-09 13:19:25.331",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"433","Norfloxacin","Negative/Positive",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:25.518","2026-07-09 13:19:25.518",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"434","NT-proBNP","pg/mL",NULL,"125","< 125 pg/mL",NULL,"125","< 125 pg/mL",NULL,NULL,"Age-dependent; higher in neonates",,"2026-07-09 13:19:25.699","2026-07-09 13:19:25.699",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"435","Ofloxacin","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:25.884","2026-07-09 13:19:25.884",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"436","Pap Smear Interpretation","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative for Intraepithelial Lesion or Malignancy","2026-07-09 13:19:26.076","2026-07-09 13:19:26.076",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"437","Specimen Adequacy",,NULL,NULL,,NULL,NULL,"Satisfactory for evaluation",NULL,NULL,,"Satisfactory for evaluation","2026-07-09 13:19:26.258","2026-07-09 13:19:26.258",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"438","Paracheck Malaria (P. falciparum HRP-2)","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:26.440","2026-07-09 13:19:26.440",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"439","Parahit Total for Malaria",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:26.656","2026-07-09 13:19:26.656",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"440","Penicillin Concentration","mcg/mL",NULL,NULL,"Therapeutic range varies by regimen and indication",NULL,NULL,"Therapeutic range varies by regimen and indication",NULL,NULL,"Therapeutic range varies by regimen and indication","Variable (Dependent on dose and renal function)","2026-07-09 13:19:26.836","2026-07-09 13:19:26.836",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"441","Testosterone (Total)","ng/dL","300","1000","300 - 1000","15","70","15 - 70","0","20","0 - 20",,"2026-07-09 13:19:27.029","2026-07-09 13:19:27.029",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"442","Packed Cell Volume (Haematocrit)","%","41","53","41–53","36","46","36–46","33","44","33–44",,"2026-07-09 13:19:27.217","2026-07-09 13:19:27.217",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"443","Pericardial Fluid Appearance","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Clear, straw-colored","2026-07-09 13:19:27.399","2026-07-09 13:19:27.399",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"444","Pericardial Fluid Total Nucleated Cell Count","cells/µL","0","1000","< 1000","0","1000","< 1000","0","1000","< 1000",,"2026-07-09 13:19:27.584","2026-07-09 13:19:27.584",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"445","Pericardial Fluid Glucose","mg/dL","70","100","Approximately equal to serum","70","100","Approximately equal to serum","70","100","Approximately equal to serum",,"2026-07-09 13:19:27.768","2026-07-09 13:19:27.768",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"446","Pericardial Fluid Protein","g/dL","1","3","1.0 - 3.0","1","3","1.0 - 3.0","1","3","1.0 - 3.0",,"2026-07-09 13:19:27.953","2026-07-09 13:19:27.953",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"447","Pericardial Fluid LDH","U/L",NULL,NULL,"< 60% of serum upper limit",NULL,NULL,"< 60% of serum upper limit",NULL,NULL,"< 60% of serum upper limit",,"2026-07-09 13:19:28.139","2026-07-09 13:19:28.139",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"448","Pericardial Fluid Total Protein","g/dL",NULL,NULL,"1.0–3.0",NULL,NULL,"1.0–3.0",NULL,NULL,"1.0–3.0",,"2026-07-09 13:19:28.327","2026-07-09 13:19:28.327",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"449","Pericardial Fluid Culture","None",NULL,NULL,"No growth",NULL,NULL,"No growth",NULL,NULL,"No growth","No growth","2026-07-09 13:19:28.516","2026-07-09 13:19:28.516",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"450","Pericardial Fluid Sensitivity","None",NULL,NULL,"Not applicable",NULL,NULL,"Not applicable",NULL,NULL,"Not applicable","Not applicable","2026-07-09 13:19:28.722","2026-07-09 13:19:28.722",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"451","Pericardial Fluid Cytology",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Normal / Negative","2026-07-09 13:19:28.905","2026-07-09 13:19:28.905",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"452","Peripheral Blood Film Examination","Text",NULL,NULL,"Normocytic Normochromic",NULL,NULL,"Normocytic Normochromic",NULL,NULL,"Normocytic Normochromic","Normocytic Normochromic","2026-07-09 13:19:29.082","2026-07-09 13:19:29.082",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"453","Peripheral Smear Examination","None",NULL,NULL,"Normocytic Normochromic",NULL,NULL,"Normocytic Normochromic",NULL,NULL,"Normocytic Normochromic","Normocytic Normochromic","2026-07-09 13:19:29.260","2026-07-09 13:19:29.260",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"454","Peripheral Smear for Malaria Parasite",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:29.444","2026-07-09 13:19:29.444",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"455","Peripheral Blood Smear for Microfilaria","Not detected / Detected",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:29.630","2026-07-09 13:19:29.630",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"456","Total Nucleated Cell Count","cells/µL","0","500","< 500","0","500","< 500","0","500","< 500","< 500 cells/µL","2026-07-09 13:19:29.812","2026-07-09 13:19:29.812",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"457","Peritoneal Fluid for Acid-Fast Bacilli (AFB)","Not Applicable",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:29.996","2026-07-09 13:19:29.996",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"458","Piperacillin/Tazobactam","NA",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Susceptible","2026-07-09 13:19:30.186","2026-07-09 13:19:30.186",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"459","Piperacillin/Tazobactam (P/T)","mg/L",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Not Detected","2026-07-09 13:19:30.365","2026-07-09 13:19:30.365",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"460","Blood Glucose, Fasting","mg/dL","70","99","70-99","70","99","70-99","70","100","70-100","70-99","2026-07-09 13:19:30.549","2026-07-09 13:19:30.549",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"461","Blood Glucose, 2-Hour Postprandial","mg/dL","70","139","70-139","70","139","70-139","70","130","70-130","70-139","2026-07-09 13:19:30.734","2026-07-09 13:19:30.734",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"462","Plasma Glucose (Fasting)","mg/dL","70","99","70-99","70","99","70-99","60","100","60-100","70-99","2026-07-09 13:19:30.912","2026-07-09 13:19:30.912",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"463","Plasma Glucose (Postprandial)","mg/dL","80","139","80-139","80","139","80-139","70","130","70-130","80-139","2026-07-09 13:19:31.093","2026-07-09 13:19:31.093",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"464","Plasma Glucose (Post Prandial)","mg/dL","70","140","70-140","70","140","70-140","70","140","70-140","70-140","2026-07-09 13:19:31.271","2026-07-09 13:19:31.271",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"465","Plasma Glucose (Random)","mg/dL","70","200","70-200","70","200","70-200","70","200","70-200","70-200","2026-07-09 13:19:31.450","2026-07-09 13:19:31.450",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"466","Blood Glucose, Post Prandial","mg/dL","70","140","70-140","70","140","70-140","70","130","70-130","70-140","2026-07-09 13:19:31.635","2026-07-09 13:19:31.635",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"467","Platelet-Lymphocyte Ratio (PLR)","Ratio","50","200","50–200","50","200","50–200",NULL,NULL,,"50–200","2026-07-09 13:19:31.810","2026-07-09 13:19:31.810",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"469","Platelet Distribution Width (PDW)","fL","9","17","9.0–17.0","9","17","9.0–17.0","9","17","9.0–17.0","9.0–17.0","2026-07-09 13:19:32.177","2026-07-09 13:19:32.177",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"470","Plateletcrit (PCT)","%","0.15","0.45","0.15–0.45","0.15","0.45","0.15–0.45","0.15","0.45","0.15–0.45",,"2026-07-09 13:19:32.364","2026-07-09 13:19:32.364",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"471","Pleural Fluid Culture and Sensitivity",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"No growth","2026-07-09 13:19:32.552","2026-07-09 13:19:32.552",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"472","Pleural Fluid Appearance","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Clear, straw-colored","2026-07-09 13:19:32.733","2026-07-09 13:19:32.733",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"473","Pleural Fluid Protein","g/dL",NULL,NULL,"< 3.0 g/dL",NULL,NULL,"< 3.0 g/dL",NULL,NULL,"< 3.0 g/dL",,"2026-07-09 13:19:32.913","2026-07-09 13:19:32.913",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"474","Pleural Fluid LDH","IU/L",NULL,NULL,"< 2/3 of upper limit of serum normal",NULL,NULL,"< 2/3 of upper limit of serum normal",NULL,NULL,"< 2/3 of upper limit of serum normal",,"2026-07-09 13:19:33.095","2026-07-09 13:19:33.095",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"475","Pleural Fluid pH","pH",NULL,NULL,"7.60 - 7.64",NULL,NULL,"7.60 - 7.64",NULL,NULL,"7.60 - 7.64",,"2026-07-09 13:19:33.279","2026-07-09 13:19:33.279",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"476","Pleural Fluid Glucose","mg/dL",NULL,NULL,"Approx. equal to serum glucose",NULL,NULL,"Approx. equal to serum glucose",NULL,NULL,"Approx. equal to serum glucose",,"2026-07-09 13:19:33.463","2026-07-09 13:19:33.463",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"477","Procalcitonin","ng/mL","0","0.5","< 0.5","0","0.5","< 0.5","0","0.5","< 0.5","< 0.5 ng/mL","2026-07-09 13:19:33.680","2026-07-09 13:19:33.680",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"478","Progesterone","ng/mL","0.2","1.4","0.2–1.4","0.1","25","Follicular: 0.1–0.7, Luteal: 2.0–25.0","0.1","0.5","0.1–0.5",,"2026-07-09 13:19:33.862","2026-07-09 13:19:33.862",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"479","Promyelocytes","%","0","0","0%","0","0","0%","0","0","0%","0%","2026-07-09 13:19:34.053","2026-07-09 13:19:34.053",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"480","Free Prostate-Specific Antigen (Free PSA)","ng/mL",NULL,NULL,"> 0.25 (Ratio)",NULL,NULL,"Not Applicable",NULL,NULL,"Not Applicable","> 0.25 (Free/Total PSA Ratio)","2026-07-09 13:19:34.243","2026-07-09 13:19:34.243",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"481","Free/Total PSA Ratio","Ratio","0","1","> 0.25",NULL,NULL,"Not Applicable",NULL,NULL,"Not Applicable","> 0.25","2026-07-09 13:19:34.431","2026-07-09 13:19:34.431",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"482","Prostate-Specific Antigen (PSA), Total","ng/mL","0","4","0.0–4.0","0","0","Not applicable",NULL,NULL,"Not applicable",,"2026-07-09 13:19:34.610","2026-07-09 13:19:34.610",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"483","Prostate-Specific Antigen (PSA)","ng/mL","0","4","0–4.0 ng/mL","0","0","Not Applicable",NULL,NULL,"Not Applicable","0–4.0 ng/mL","2026-07-09 13:19:34.794","2026-07-09 13:19:34.794",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"484","Urine Protein/Creatinine Ratio","mg/mg","0","0.2","< 0.2","0","0.2","< 0.2","0","0.5","< 0.5","< 0.2 mg/mg","2026-07-09 13:19:34.983","2026-07-09 13:19:34.983",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"485","Urine Protein","mg/dL",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:35.171","2026-07-09 13:19:35.171",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"486","Urine Creatinine","mg/dL","20","320","20.0–320.0","20","320","20.0–320.0","20","320","20.0–320.0",,"2026-07-09 13:19:35.353","2026-07-09 13:19:35.353",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
